audio_url0,audio_url1,audio_url2,audio_url3,audio_url4,audio_url5
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/2830_3980_000018_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/3729_6852_000049_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1284_1181_000014_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/2300_131720_000004_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1995_1836_000008_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/237_134500_000022_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1320_122612_000023_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1188_133604_000012_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/4077_13754_000014_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1089_134686_000007_000005.wav
