"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_url0","Input.audio_url1","Input.audio_url2","Input.audio_url3","Input.audio_url4","Input.audio_url5","Input.audio_url6","Answer.wav0.1","Answer.wav0.2","Answer.wav0.3","Answer.wav0.4","Answer.wav0.5","Answer.wav1.1","Answer.wav1.2","Answer.wav1.3","Answer.wav1.4","Answer.wav1.5","Answer.wav2.1","Answer.wav2.2","Answer.wav2.3","Answer.wav2.4","Answer.wav2.5","Answer.wav3.1","Answer.wav3.2","Answer.wav3.3","Answer.wav3.4","Answer.wav3.5","Answer.wav4.1","Answer.wav4.2","Answer.wav4.3","Answer.wav4.4","Answer.wav4.5","Answer.wav5.1","Answer.wav5.2","Answer.wav5.3","Answer.wav5.4","Answer.wav5.5","Answer.wav6.1","Answer.wav6.2","Answer.wav6.3","Answer.wav6.4","Answer.wav6.5","Approve","Reject"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","3018Q3ZVOOM5YD3Y9FVMU4QHR6RARM","A35TUIBF05DKM4","Submitted","Sat Mar 06 22:43:08 PST 2021","Sat Mar 06 22:43:34 PST 2021","Tue Mar 09 22:43:34 PST 2021","","","","26","100% (173/173)","100% (173/173)","100% (173/173)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","31HQ4X3T3Y6YVBUFLVKHTSBO7KDLS7","AG430TVZD4313","Submitted","Sat Mar 06 23:44:36 PST 2021","Sat Mar 06 23:45:19 PST 2021","Tue Mar 09 23:45:19 PST 2021","","","","43","100% (24/24)","100% (24/24)","100% (24/24)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","true"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","33L7PJKHCMU4V4NBG6G3YSL4P3O8TT","A2683ZVNWI119A","Submitted","Sat Mar 06 22:40:10 PST 2021","Sat Mar 06 22:54:05 PST 2021","Tue Mar 09 22:54:05 PST 2021","","","","835","100% (140/140)","100% (140/140)","100% (140/140)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","33L7PJKHCMU4V4NBG6G3YSL4P3S8TX","A1K42W7BKJDVB","Submitted","Sat Mar 06 23:34:25 PST 2021","Sat Mar 06 23:44:05 PST 2021","Tue Mar 09 23:44:05 PST 2021","","","","580","100% (140/140)","100% (140/140)","100% (140/140)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","35LDD5557G0KDAZSGYCU2JZ3QVOMKR","A3TYCJO2DG3RMH","Submitted","Sat Mar 06 23:04:13 PST 2021","Sat Mar 06 23:04:41 PST 2021","Tue Mar 09 23:04:41 PST 2021","","","","28","100% (77/77)","100% (36/36)","100% (36/36)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","36V4Q8R5ZQW6ODXNT3WRY5BCP1KQMR","A2GTBBZA2M82NR","Submitted","Sun Mar 07 00:14:09 PST 2021","Sun Mar 07 00:15:26 PST 2021","Wed Mar 10 00:15:26 PST 2021","","","","77","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","3ATPCQ38JE6EVEFKNANG20JEUTFYAL","AZCGF2D7QIO10","Submitted","Sun Mar 07 01:10:14 PST 2021","Sun Mar 07 01:10:49 PST 2021","Wed Mar 10 01:10:49 PST 2021","","","","35","100% (29/29)","100% (29/29)","100% (29/29)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","3BEFOD78WCPZZ8APV6PEV2A7T924MN","A31Z5TPD8QKE26","Submitted","Sun Mar 07 00:07:00 PST 2021","Sun Mar 07 00:17:22 PST 2021","Wed Mar 10 00:17:22 PST 2021","","","","622","100% (24/24)","100% (24/24)","100% (24/24)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","3DL65MZB8JB4IOVR7N7D1SHMCKMCED","A30MP4LXV4MIFD","Submitted","Sat Mar 06 22:42:05 PST 2021","Sat Mar 06 22:46:18 PST 2021","Tue Mar 09 22:46:18 PST 2021","","","","253","100% (129/129)","100% (28/28)","100% (28/28)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true"
"3EPG8DX9MPMKTAE8BPVFTEFTT0OP5N","3ZNZSREO6IU7ZO87YXISWB0JYP8ZXN","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.18","Sat Mar 06 22:23:59 PST 2021","20","BatchId:4357715;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:23:59 PDT 2021","","","3DR23U6WEBAL45X2T923Q2HQ06UET6","A3C2X1L5PVNNLV","Submitted","Sun Mar 07 00:42:27 PST 2021","Sun Mar 07 00:43:22 PST 2021","Wed Mar 10 00:43:22 PST 2021","","","","55","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true"
