"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_url0","Input.audio_url1","Input.audio_url2","Input.audio_url3","Input.audio_url4","Input.audio_url5","Input.audio_url6","Answer.wav0.1","Answer.wav0.2","Answer.wav0.3","Answer.wav0.4","Answer.wav0.5","Answer.wav1.1","Answer.wav1.2","Answer.wav1.3","Answer.wav1.4","Answer.wav1.5","Answer.wav2.1","Answer.wav2.2","Answer.wav2.3","Answer.wav2.4","Answer.wav2.5","Answer.wav3.1","Answer.wav3.2","Answer.wav3.3","Answer.wav3.4","Answer.wav3.5","Answer.wav4.1","Answer.wav4.2","Answer.wav4.3","Answer.wav4.4","Answer.wav4.5","Answer.wav5.1","Answer.wav5.2","Answer.wav5.3","Answer.wav5.4","Answer.wav5.5","Answer.wav6.1","Answer.wav6.2","Answer.wav6.3","Answer.wav6.4","Answer.wav6.5","Approve","Reject"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","31N2WW6R9XM8B2Z495GIQ7YSI5B3F5","A6KB4VHCZYTY2","Submitted","Sat Mar 06 08:36:46 PST 2021","Sat Mar 06 08:43:08 PST 2021","Tue Mar 09 08:43:08 PST 2021","","","","382","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3A1COHJ8NPREQVWGGCZEK9IGE6G8H0","AXKNMOECIV3ZA","Submitted","Sat Mar 06 08:35:22 PST 2021","Sat Mar 06 08:36:22 PST 2021","Tue Mar 09 08:36:22 PST 2021","","","","60","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3A4NIXBJ7CVVXGHA1YOVHJCIFSDLM7","A1AOO6F7NAT9YB","Submitted","Sat Mar 06 08:29:56 PST 2021","Sat Mar 06 08:31:01 PST 2021","Tue Mar 09 08:31:01 PST 2021","","","","65","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","true"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3F0BG9B9MVJWCCHMG7BWS9HOTIK7Y8","A1PNYLOKED8FWF","Submitted","Sat Mar 06 08:11:16 PST 2021","Sat Mar 06 08:14:34 PST 2021","Tue Mar 09 08:14:34 PST 2021","","","","198","100% (17/17)","100% (17/17)","100% (17/17)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3GS6S824SWTHQSE9HDAX39IYIPRWNB","A2NAKIXS3DVGAA","Submitted","Sat Mar 06 08:32:00 PST 2021","Sat Mar 06 08:32:26 PST 2021","Tue Mar 09 08:32:26 PST 2021","","","","26","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3HFNH7HEMNA6W311I0YWL0RFTCMGQH","A3T9WZOUQGE2UW","Submitted","Sat Mar 06 08:13:19 PST 2021","Sat Mar 06 08:13:54 PST 2021","Tue Mar 09 08:13:54 PST 2021","","","","35","100% (76/76)","100% (76/76)","100% (76/76)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3KXIR214IAC9S46WLO6UGTW9N1Y423","A8UJNIY9R8S7W","Submitted","Sat Mar 06 08:06:54 PST 2021","Sat Mar 06 08:15:53 PST 2021","Tue Mar 09 08:15:53 PST 2021","","","","539","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3LQ8PUHQFRO7F18TPYB5XYCUH2IIHF","A133QG754CGS3I","Submitted","Sat Mar 06 08:12:52 PST 2021","Sat Mar 06 08:25:16 PST 2021","Tue Mar 09 08:25:16 PST 2021","","","","744","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3R3YRB5GRLZXE5VFD9QRZFD1Y2HAU6","A1C8FN01981A69","Submitted","Sat Mar 06 08:27:48 PST 2021","Sat Mar 06 08:32:51 PST 2021","Tue Mar 09 08:32:51 PST 2021","","","","303","100% (52/52)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"3RHLQY6EEY0T8U7ISBLAOSSQFIB4DY","3S5CBU44O9PJ47M7LEFXW5IHD0XAOT","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.20","Sat Mar 06 08:06:33 PST 2021","20","BatchId:4357196;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 09:06:33 PDT 2021","","","3RSDURM96GIHLRWW3FP2YJ95F5OEY1","A76WEZ9QGREEM","Submitted","Sat Mar 06 08:14:02 PST 2021","Sat Mar 06 08:16:15 PST 2021","Tue Mar 09 08:16:15 PST 2021","","","","133","100% (19/19)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/mpwd_to_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_gau/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/univnet-c16/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_mrsd/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/wo_lvc/2299_6524_000020_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/ground_truth/2299_6524_000020_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true"
