"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_url0","Input.audio_url1","Input.audio_url2","Input.audio_url3","Input.audio_url4","Input.audio_url5","Answer.wav0.1","Answer.wav0.2","Answer.wav0.3","Answer.wav0.4","Answer.wav0.5","Answer.wav1.1","Answer.wav1.2","Answer.wav1.3","Answer.wav1.4","Answer.wav1.5","Answer.wav2.1","Answer.wav2.2","Answer.wav2.3","Answer.wav2.4","Answer.wav2.5","Answer.wav3.1","Answer.wav3.2","Answer.wav3.3","Answer.wav3.4","Answer.wav3.5","Answer.wav4.1","Answer.wav4.2","Answer.wav4.3","Answer.wav4.4","Answer.wav4.5","Answer.wav5.1","Answer.wav5.2","Answer.wav5.3","Answer.wav5.4","Answer.wav5.5","Approve","Reject"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","31LM9EDVOROVK8EAAERIEJOQGVFNJ8","A1PNYLOKED8FWF","Submitted","Sat Mar 06 19:27:15 PST 2021","Sat Mar 06 19:28:56 PST 2021","Tue Mar 09 19:28:56 PST 2021","","","","101","100% (37/37)","100% (37/37)","100% (37/37)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","323Q6SJS8OCN5A63OQ5KU1Z21CPHFQ","A3862RIFFUV141","Submitted","Sat Mar 06 19:22:59 PST 2021","Sat Mar 06 19:24:55 PST 2021","Tue Mar 09 19:24:55 PST 2021","","","","116","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","33LKR6A5KKGMK43QHL7OJIYWBW21TK","A2VY16N1O40VEL","Submitted","Sat Mar 06 19:25:30 PST 2021","Sat Mar 06 19:35:38 PST 2021","Tue Mar 09 19:35:38 PST 2021","","","","608","100% (7/7)","100% (7/7)","100% (7/7)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","388U7OUMFDX9X05GHDYT5YE4IJZ0R3","A31Z5TPD8QKE26","Submitted","Sat Mar 06 19:27:57 PST 2021","Sat Mar 06 19:29:18 PST 2021","Tue Mar 09 19:29:18 PST 2021","","","","81","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","39LOEL67OY1ZWNPH1RACGFH6V3V83U","A2FYFCD16Z3PCC","Submitted","Sat Mar 06 19:29:23 PST 2021","Sat Mar 06 19:29:53 PST 2021","Tue Mar 09 19:29:53 PST 2021","","","","30","100% (63/63)","100% (63/63)","100% (63/63)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","true","false","false","false","false","false","false","false","true","false"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","3AMYWKA6YHI1EYZFRAX6K4JQKZ16O1","A35TUIBF05DKM4","Submitted","Sat Mar 06 19:33:23 PST 2021","Sat Mar 06 19:33:46 PST 2021","Tue Mar 09 19:33:46 PST 2021","","","","23","100% (140/140)","100% (140/140)","100% (140/140)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","3AMYWKA6YHI1EYZFRAX6K4JQKZ1O6J","A259UZJQOOVE4V","Submitted","Sat Mar 06 19:32:39 PST 2021","Sat Mar 06 19:33:27 PST 2021","Tue Mar 09 19:33:27 PST 2021","","","","48","100% (4/4)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","3FE2ERCCZ349O4HK66WFQ4A7F4QOPO","ABNR8ID5Q3CYA","Submitted","Sat Mar 06 19:22:29 PST 2021","Sat Mar 06 19:22:57 PST 2021","Tue Mar 09 19:22:57 PST 2021","","","","28","100% (54/54)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","3I02618YA624191H2S8OPA2WXQEPU2","A2ZRL1ZWWXJ0L7","Submitted","Sat Mar 06 19:25:56 PST 2021","Sat Mar 06 19:26:35 PST 2021","Tue Mar 09 19:26:35 PST 2021","","","","39","100% (16/16)","100% (16/16)","100% (16/16)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"3CKVGCS3QL1IBV8Z60TX7OODZ9I0SL","3N79SUTLM8H2F7LHMDJUIA2WEND5BE","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.15","Sat Mar 06 19:13:28 PST 2021","20","BatchId:4357661;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 20:13:28 PDT 2021","","","3IHR8NYAMDX5KB72NMH6C642YDR4PV","AIRSW1AVXIPNI","Submitted","Sat Mar 06 19:26:27 PST 2021","Sat Mar 06 19:27:14 PST 2021","Tue Mar 09 19:27:14 PST 2021","","","","47","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/ground_truth/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/hifi-gan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/melgan/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c16/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/pwg/2004_147967_000029_000002.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/seen/univnet-c32/2004_147967_000029_000002.wav","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true"
