"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_url0","Input.audio_url1","Input.audio_url2","Input.audio_url3","Input.audio_url4","Answer.wav0.1","Answer.wav0.2","Answer.wav0.3","Answer.wav0.4","Answer.wav0.5","Answer.wav1.1","Answer.wav1.2","Answer.wav1.3","Answer.wav1.4","Answer.wav1.5","Answer.wav2.1","Answer.wav2.2","Answer.wav2.3","Answer.wav2.4","Answer.wav2.5","Answer.wav3.1","Answer.wav3.2","Answer.wav3.3","Answer.wav3.4","Answer.wav3.5","Answer.wav4.1","Answer.wav4.2","Answer.wav4.3","Answer.wav4.4","Answer.wav4.5","Approve","Reject"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","34PGFRQONU7L72NO2FI5A21H982WJT","A2FYFCD16Z3PCC","Submitted","Sat Mar 06 23:06:16 PST 2021","Sat Mar 06 23:06:42 PST 2021","Tue Mar 09 23:06:42 PST 2021","","","","26","100% (116/116)","100% (116/116)","100% (116/116)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","true","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","true","false","false","false","true","false"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","34S6N1K2Z1F952GZA18IPE4MY92HLO","A1XCQA727LJVL2","Submitted","Sun Mar 07 01:16:45 PST 2021","Sun Mar 07 01:18:01 PST 2021","Wed Mar 10 01:18:01 PST 2021","","","","76","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","36NEMU28XL9B8AT95CVXQUTYD2WWMW","A11WCFPJSR5VZP","Submitted","Sat Mar 06 22:52:37 PST 2021","Sat Mar 06 23:01:37 PST 2021","Tue Mar 09 23:01:37 PST 2021","","","","540","100% (70/70)","100% (70/70)","100% (70/70)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","37UEWGM5HZ494PQYDW2TJ3XENCNR1H","A2BOXK0KVXGKPU","Submitted","Sat Mar 06 23:01:40 PST 2021","Sat Mar 06 23:02:15 PST 2021","Tue Mar 09 23:02:15 PST 2021","","","","35","100% (20/20)","100% (20/20)","100% (20/20)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","false","true","false","true","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","38SKSKU7R7T91XRJGJQ3PQ51YMCLIG","A70TBKPGWQZO4","Submitted","Sat Mar 06 23:56:24 PST 2021","Sat Mar 06 23:57:14 PST 2021","Tue Mar 09 23:57:14 PST 2021","","","","50","100% (21/21)","100% (21/21)","100% (21/21)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","true"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","39DD6S19JV7HQH61Z1RLCQI7L2DZE4","A3PXU2ZLEL8WRW","Submitted","Sun Mar 07 00:03:44 PST 2021","Sun Mar 07 00:05:30 PST 2021","Wed Mar 10 00:05:30 PST 2021","","","","106","100% (156/156)","100% (156/156)","100% (156/156)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","39GAF6DQWXW1XW7FMG73K0MH8IZV1D","A35TUIBF05DKM4","Submitted","Sat Mar 06 22:54:48 PST 2021","Sat Mar 06 22:55:11 PST 2021","Tue Mar 09 22:55:11 PST 2021","","","","23","100% (193/193)","100% (193/193)","100% (193/193)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","false","true","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","3AMYWKA6YHI1EYZFRAX6K4JQK0H6OJ","A9HQ3E0F2AGVO","Submitted","Sat Mar 06 22:41:33 PST 2021","Sat Mar 06 22:46:01 PST 2021","Tue Mar 09 22:46:01 PST 2021","","","","268","100% (16/16)","100% (16/16)","100% (16/16)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","false","true","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","false","false","false","true"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","3BF51CHDT16W86RDL8MZRUCYVBMH0A","A39VVWV1GHLMFD","Submitted","Sun Mar 07 00:00:33 PST 2021","Sun Mar 07 00:03:05 PST 2021","Wed Mar 10 00:03:05 PST 2021","","","","152","100% (168/168)","100% (160/160)","100% (160/160)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true"
"359AP8GAHLGGMPJNUDO67YUILN6C7D","3IRHJ9AYT6S2WDZY6Z7UD2TFLL5GNW","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.12","Sat Mar 06 22:25:34 PST 2021","20","BatchId:4357717;OriginalHitTemplateId:928390811;","1200","259200","Sat Mar 20 23:25:34 PDT 2021","","","3ERMJ6L4D4OWIVS8X4NLYEUHKBQ7M8","A3C2X1L5PVNNLV","Submitted","Sat Mar 06 23:28:37 PST 2021","Sat Mar 06 23:29:29 PST 2021","Tue Mar 09 23:29:29 PST 2021","","","","52","100% (17/17)","100% (17/17)","100% (17/17)","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c32/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/melgan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/pwg/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/hifi-gan/103.wav","https://kallavinka8045.github.io/is2021/wav_for_mos/tts/univnet-c16/103.wav","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true"
